TransactionID,TransactionAmt,ProductCD
3491411,3076.97,W
3571743,2480.06,W
3494038,1949.69,W
3535177,1651.0,W
3530331,1504.47,W
3530376,1504.47,W
3499538,1402.85,W
3543598,1384.95,W
3557548,1104.0,W
3567272,1104.0,W
3501043,1104.0,W
3512407,994.0,W
3522509,994.0,W
3535189,994.0,W
3522512,994.0,W
3502823,974.0,W
3502819,974.0,W
3522540,944.0,W
3526826,944.0,W
3522544,944.0,W
3575549,944.0,W
3494432,914.0,W
3538655,884.0,W
3534978,884.0,W
3542308,874.0,W
3492830,864.0,W
3492525,680.45,W
3515440,611.95,W
3551412,554.0,W
3566814,554.0,W
3549520,554.0,W
3533110,554.0,W
3532738,554.0,W
3514338,554.0,W
3520017,554.0,W
3542372,554.0,W
3507457,554.0,W
3503610,554.0,W
3575578,500.0,W
3544384,500.0,W
3544407,500.0,W
3530121,470.0,W
3541200,464.34,W
3568646,445.0,W
3535595,445.0,W
3541801,445.0,W
3568653,445.0,W
3558390,445.0,W
3498052,440.99,W
3514187,435.95,W
3542486,424.95,W
3566856,422.5,W
3526800,422.5,W
3566350,417.5,W
3535488,390.0,W
3519663,378.0,W
3549888,370.0,W
3549895,370.0,W
3493210,335.0,W
3558459,335.0,W
3545803,335.0,W
3545804,335.0,W
3523979,335.0,W
3515479,335.0,W
3515484,335.0,W
3543700,334.99,W
3543915,334.0,W
3549975,326.3,W
3493110,323.0,W
3566647,317.5,W
3540377,311.95,W
3524487,311.95,W
3542506,311.95,W
3540046,311.95,W
3491849,311.95,W
3570915,311.95,W
3522749,305.97,W
3553257,300.0,H
3550643,300.0,R
3525203,280.0,W
3576410,280.0,W
3505784,280.0,W
3561722,280.0,W
3542842,265.594,C
3528060,261.95,W
3555602,261.95,W
3551992,255.0,W
3504200,255.0,W
3508238,251.95,W
3563721,250.0,R
3504739,250.0,R
3504767,250.0,R
3563749,250.0,R
3563723,250.0,R
3497349,226.0,W
3496792,226.0,W
3561510,226.0,W
3574263,226.0,W
3571124,226.0,W
3496349,226.0,W
