indice,TransactionID,y,score_A,score_B,score_C,score_D,score_A_V4,score_control_logistico
413378,3400378,0,0.0031292088515079497,0.006277753726154187,0.0034238731631947147,0.03482358105764465,0.0031159081876709,0.0010202761202393828
413379,3400379,1,0.8536806255783586,0.8029503458550658,0.9013079537575791,0.07007319370569944,0.8542407276037309,0.9873252938477984
413380,3400380,0,0.06355826119226925,0.2962889847917888,0.10604694381403548,0.012999811004769988,0.0635169498240111,0.044009297924239264
413381,3400381,0,0.007111490699554436,0.014437424525581105,0.007367350386649926,0.016901373470514642,0.0070881398817703,0.002850669536731488
413382,3400382,0,0.0046763433861585525,0.006208491487469547,0.00463499843885022,0.04060067495188875,0.004658674064907,0.004751528422232097
413383,3400383,0,0.011487094603110181,0.007534270523665234,0.011070143613509598,0.031515323577244174,0.0114559207895825,0.0089442030665613
413384,3400384,0,0.04370639217924831,0.04533634291096726,0.042641488283386125,0.026129399228757136,0.0436581557656923,0.027748954840025167
413385,3400385,0,0.029824337817238776,0.024854863907913936,0.03640308151800146,0.04401728515739484,0.0297776025193427,0.22199414665984582
413386,3400386,0,0.017707160023152455,0.013853766359099844,0.013415268432979155,0.010262517526634141,0.0176682775012002,0.012882844952889931
413387,3400387,0,0.01611367370346635,0.03972680924115812,0.01896897032167706,0.02971189490970628,0.0160764663761397,0.011977217760990163
413388,3400388,0,0.020785316405730447,0.004668436008725285,0.00865909460557752,0.027143934718736887,0.02074368182161,0.014413933292070738
413389,3400389,0,0.01009990026149867,0.019616373213193202,0.01148836381363438,0.022425206710896494,0.0100709424692774,0.007257839940740062
413390,3400390,0,0.0011403609670316902,0.005781404383927033,0.0013830658937007256,0.01350971126755365,0.0011341694234833,0.000382769856428222
413391,3400391,0,0.0032270380597828807,0.004205673696922235,0.0024726762429319676,0.012400779167361518,0.0032134380812775,0.0011701615039407631
413392,3400392,0,0.0008284585449610818,0.004821276616135908,0.0011333132535178573,0.013347345859511948,0.0008236525481154,0.0002062158847125956
413393,3400393,0,0.0019452442117517358,0.00495596073884066,0.0019468298703168873,0.012537245394881855,0.0019358938282031,0.0010354249483369858
413394,3400394,0,0.001979494542585126,0.01271792320446993,0.0030697485319072784,0.04298047598282907,0.0019700198817195,0.0010072878568269715
413395,3400395,0,0.009354096600320352,0.024989546256166867,0.013488978739720556,0.032730642718795076,0.0093264236544753,0.004864673343432559
413396,3400396,0,0.002173991713329288,0.0162806275739462,0.003954738004313031,0.038872261801771536,0.002163824207179,0.0005491575785336693
413397,3400397,0,0.004615063173972241,0.006304470811111552,0.0034497990322225436,0.010240171849725187,0.0045975537158757,0.0018849810814079455
413398,3400398,0,0.004745629385704761,0.006173132244206207,0.0038845787589596244,0.016566065820259008,0.0047277804680164,0.0019982806812125593
413399,3400399,0,0.006139260870600741,0.04187082622840337,0.010424743142437892,0.014404116389142916,0.0061180349874792,0.003568617843043558
413400,3400400,0,0.0023330245497291896,0.008735864102712527,0.002686397848476947,0.008181804020514528,0.0023223058621165,0.0007458601005382406
413401,3400401,0,0.018273439396232338,0.010354040706579354,0.015941996316459334,0.1258910706858169,0.0182340045847193,0.005491136655991442
413402,3400402,0,0.008563756613047794,0.011115746701270243,0.007448760715276587,0.014707405911839814,0.0085375237798764,0.0040026572924569855
413403,3400403,0,0.0026171766496748505,0.023588461640925422,0.00622036538457155,0.03555995127206513,0.0026055044514887,0.0011286016894496776
413404,3400404,0,0.008745160148289112,0.007948992538953235,0.009175224098977105,0.030482618708495716,0.0087185892758577,0.0023188253995549747
413405,3400405,0,0.001963432757316308,0.03351185717225262,0.004240327964755266,0.013162333603930591,0.0019540162890706,0.0007856079788421408
413406,3400406,0,0.011806185766279776,0.06114474368878085,0.01852399628218035,0.04160364808903347,0.0117745318658149,0.013659428503193502
413407,3400407,0,0.018448211211691823,0.006420251126393906,0.010313621031347496,0.011687898092612566,0.0184086103070888,0.011936477364618033
413408,3400408,0,0.00771445994994041,0.023888356277220635,0.012455005252505634,0.10267360668487278,0.007689872989465,0.004440952735281877
413409,3400409,0,0.014905484808613551,0.059617548835646586,0.02117507464975703,0.02099305423909985,0.0148696748724684,0.013413675838428063
413410,3400410,0,0.012396800050434026,0.05546883120527758,0.027409502460337954,0.022179318259537995,0.0123642849388796,0.016955822976517244
413411,3400411,0,0.0011011758163855586,0.0046609956520746645,0.001397542395851751,0.016126594476093308,0.0010951522083229,0.0004736454917202557
413412,3400412,0,0.010185666997758648,0.005482802182075226,0.007469037472991556,0.020663898863898352,0.0101565658124689,0.006338162991450278
413413,3400413,0,0.008742030633292448,0.008592209989673888,0.007720075498987306,0.018840747617654044,0.0087154655538861,0.006467526548631715
413414,3400414,0,0.0018297393433859004,0.005805830935907294,0.0018864016157189908,0.01623331136751685,0.0018208133743126,0.0008706417067252736
413415,3400415,0,0.02211932249924167,0.010942568598529224,0.0301388502274542,0.09428525740433273,0.0220766737930941,0.013312089569584379
413416,3400416,0,0.01207749508624299,0.009378459174152016,0.010953749392184362,0.03200981533544976,0.0120454412270377,0.005096594862163378
413417,3400417,0,0.024061747936410534,0.005048314255121053,0.013318027654736072,0.017999293726838964,0.024017797286163,0.026179782299542206
413418,3400418,0,0.04080030114301983,0.02119888098674162,0.03172489751137124,0.026249444454812428,0.040751865658954,0.026761686664632287
413419,3400419,0,0.008794622495914594,0.009653222012624616,0.005947457262819045,0.006451240577994316,0.0087679602430218,0.004229589694483037
413420,3400420,0,0.025571854255845232,0.06719588905838116,0.029377616861845146,0.012717573070221162,0.0255270250534116,0.06257417947047157
413421,3400421,0,0.004236023288682277,0.00679242309745102,0.004991393032318442,0.034530158621566484,0.0042195246831328,0.0019072248195241954
413422,3400422,0,0.018631270064592847,0.005621011171970106,0.007131167875014896,0.007811339294360007,0.0185914973605718,0.010619215507655566
413423,3400423,0,0.025126919564426083,0.010222179323904337,0.018754878377787672,0.02495680465957685,0.025082337565518,0.013087666265594685
413424,3400424,0,0.011803895223151669,0.019595167790366134,0.018702466490644176,0.0459394415282814,0.0117722447313079,0.08601592491134129
413425,3400425,0,0.017668525534344347,0.0056430666095277785,0.012213435224390884,0.022934950379841085,0.0176296814906205,0.011014861593200946
413426,3400426,0,0.006737769495170118,0.024304296176932434,0.009561933190376322,0.04207165562711497,0.006715215350819,0.007340291075952572
413427,3400427,0,0.0011184467063740959,0.00392306810838985,0.0013363836148619999,0.019844442944361555,0.0011123488828728,0.00037510808257478086
413428,3400428,0,0.0025553320322577945,0.004563405802624784,0.0029525217094522587,0.010690457430325588,0.0025438641177056,0.0005646287282861363
413429,3400429,0,0.004404079345758935,0.008042440255442606,0.004621540501082756,0.03118997394171471,0.0043871277789148,0.0037968037946410514
413430,3400430,0,0.008457456257745723,0.011225759917209347,0.0075912320393531196,0.010445833603946724,0.0084314236570976,0.005124920109446925
413431,3400431,0,0.006033689940350648,0.06457203352467382,0.011668455660432403,0.021260618623880224,0.0060127054148092,0.003481092208002307
413432,3400432,0,0.009085472962941113,0.03247105366463472,0.015842474188757057,0.03844250948487202,0.009058280095266,0.003096214408469298
413433,3400433,0,0.004015621009250411,0.004557776951577253,0.002935493545146759,0.010973483758586828,0.003999728525046,0.0014823825100554987
413434,3400434,0,0.03906584416766595,0.05008788364841184,0.044245114938577704,0.0321763992946468,0.0390174086824688,0.04839225671279213
413435,3400435,0,0.014659265107163953,0.005272107893122836,0.007552935562254304,0.018753638272005897,0.0146237542825491,0.013262799622510606
413436,3400436,0,0.04562111080985611,0.12368093871172095,0.10774569314851519,0.09531292520767058,0.0455731346490237,0.08546814669234734
413437,3400437,0,0.13528710170983288,0.17858011869615845,0.1633299651525815,0.055621675390037234,0.1353196273674154,0.34422764127683586
413438,3400438,0,0.0027788471313287474,0.007080566607992997,0.003116306456103003,0.017238750773945575,0.0027666489599679,0.0015405165053005625
413439,3400439,0,0.033404671889357654,0.09161459520436081,0.04967268469943064,0.03998835280076479,0.0333569135416598,0.038362189197486435
413440,3400440,0,0.05547787405296059,0.028896552472467505,0.04201300114615558,0.019779454923090196,0.055432690436853,0.11592952631136731
413441,3400441,0,0.008307262806448579,0.014876345177218971,0.010943309292344975,0.037546448875662455,0.0082815158657645,0.006310967326373292
413442,3400442,0,0.009016466339178006,0.003962553659783909,0.005896025567844755,0.059381308647958486,0.0089893983344508,0.006487839962271161
413443,3400443,0,0.006856440387926427,0.018796975995183162,0.009753492109382776,0.024492932110587364,0.0068336306379981,0.0027737792281552444
413444,3400444,0,0.003112460815695727,0.006918745889472391,0.003309411130157412,0.018805647137063813,0.0030992117534287,0.0018122562872576633
413445,3400445,0,0.0008333091655595405,0.01005634503699375,0.001550918058853285,0.012071636496675583,0.0008284806840007,0.0001849626230863619
413446,3400446,0,0.0035491037206296897,0.0068764927579298115,0.003253014401313183,0.013236490545884518,0.0035345426383704,0.0016559123529411833
413447,3400447,0,0.12651569514131933,0.061613145792700476,0.1693868957365613,0.09091834927445452,0.1265364958042569,0.37820860265617134
413448,3400448,0,0.0009777732247177012,0.007872495553552352,0.0016318189650297854,0.031031439733348348,0.0009722894289215,0.0003869690141176556
413449,3400449,0,0.001998398353078598,0.005825114740656557,0.0026960421497429507,0.048635121300811254,0.0019888553991648,0.0012440412171607464
413450,3400450,0,0.09689980393087669,0.06010964771072434,0.09610873111146416,0.027568805836325604,0.0968857067300589,0.08792869219314374
413451,3400451,0,0.010285951314228907,0.013665710504614764,0.008171075552122892,0.01048351276873337,0.0102566835709181,0.0075693844811096705
413452,3400452,0,0.24662441388282638,0.08001456518892872,0.16832850942669855,0.016669814296742365,0.2468358376005696,0.341720843477521
413453,3400453,0,0.0011634506247045894,0.004918127832254746,0.0013770269725491466,0.006816022526363866,0.0011571608673921,0.0003306979025887337
