indice,TransactionID,y,score_raw,score_calibrado
413378,3400378,0,0.005584897252281635,0.009356247073512632
413379,3400379,1,0.8431085013883898,0.9190223170756001
413380,3400380,0,0.04313108016875691,0.07512419940951387
413381,3400381,0,0.008143962152643998,0.013790113336239918
413382,3400382,0,0.002862572502848456,0.00469914533296605
413383,3400383,0,0.005542216228581412,0.009282658523836187
413384,3400384,0,0.03120701031655862,0.05428699753775684
413385,3400385,0,0.021040888966948793,0.03641435199570358
413386,3400386,0,0.015437406609031782,0.0265569402050933
413387,3400387,0,0.006779987295390111,0.011422037976176578
413388,3400388,0,0.004164639581594695,0.006916112143491209
413389,3400389,0,0.03533600155960882,0.06152240604452969
413390,3400390,0,0.002152108083031187,0.003501200898385157
413391,3400391,0,0.001973257769044338,0.003201373341035661
413392,3400392,0,0.000982137376706454,0.0015578916622429233
413393,3400393,0,0.006594973735310243,0.011101614133976919
413394,3400394,0,0.001019427069602973,0.0016190062206282573
413395,3400395,0,0.008556629696264048,0.01450833877065439
413396,3400396,0,0.004545002670914092,0.00756771855964588
413397,3400397,0,0.0027039866783285745,0.004430890735690066
413398,3400398,0,0.013186277128051751,0.0226041914024978
413399,3400399,0,0.004739565030012491,0.00790160162679222
413400,3400400,0,0.003146835853350526,0.0051810627210811516
413401,3400401,0,0.009546446448110013,0.016233857192285855
413402,3400402,0,0.0035687008166993897,0.005898546105621857
413403,3400403,0,0.0025640039862986834,0.004194488986753515
413404,3400404,0,0.00438558044243682,0.0072944226767666185
413405,3400405,0,0.004176747458904571,0.006936830213148297
413406,3400406,0,0.000817511318356579,0.0012890124236218162
413407,3400407,0,0.0018827004124034995,0.0030498733601630173
413408,3400408,0,0.0008972124403700807,0.0014189885528460783
413409,3400409,0,0.002725004971102823,0.004466418017996095
413410,3400410,0,0.019093951989502984,0.03298790696722729
413411,3400411,0,0.005706079016704573,0.009565259472839894
413412,3400412,0,0.0023269526877542643,0.0037950459793880858
413413,3400413,0,0.005145075133379722,0.00859863258993051
413414,3400414,0,0.0017335598507344737,0.00280085850489797
413415,3400415,0,0.00299024942830871,0.004915434213145271
413416,3400416,0,0.009494313774786305,0.016142885502400287
413417,3400417,0,0.0026287900264508756,0.004303852869946356
413418,3400418,0,0.02604125934787647,0.04521246882893061
413419,3400419,0,0.004319984773636656,0.007182049912813241
413420,3400420,0,0.0030055604530496425,0.0049413899072980215
413421,3400421,0,0.0010751205137947324,0.0017104151093553764
413422,3400422,0,0.0037698105128927584,0.0062414483754304854
413423,3400423,0,0.00391832130986042,0.006494997103614812
413424,3400424,0,0.002411285374188806,0.0039370172573025474
413425,3400425,0,0.02031432668732861,0.03513560433146732
413426,3400426,0,0.0009448925900804559,0.0014969247188752408
413427,3400427,0,0.006206452162989998,0.010429436682222307
413428,3400428,0,0.0013552408408972919,0.0021723183777466164
