dimension,segmento,n,prevalencia,auc_pr,roc_auc,brier,threshold,precision,recall,f1,tn,fp,fn,tp,costo_q,alertas_por_100k
ProductCD,C,9388,0.13527907967618236,0.7502185217956178,0.9233678245873369,0.060025649287609714,0.0522015013424775,0.37385019710906703,0.8960629921259843,0.5275846082522021,6212,1906,132,1138,897480.0,32424.37153813379
ProductCD,H,2562,0.06401249024199844,0.5010126458490425,0.8506733253320856,0.04789072190575574,0.0522015013424775,0.20954003407155025,0.75,0.32756324900133155,1934,464,41,123,255720.0,22911.787665886026
ProductCD,R,4190,0.050596658711217185,0.8074651103330577,0.942014807858315,0.019176629778757948,0.0522015013424775,0.2566995768688293,0.8584905660377359,0.3952225841476656,3451,527,30,182,220860.0,16921.24105011933
ProductCD,S,2973,0.04843592330978809,0.5131419991484154,0.8487466124661247,0.03321015827544786,0.0522015013424775,0.2618384401114206,0.6527777777777778,0.37375745526838966,2564,265,50,94,257700.0,12075.344769593004
ProductCD,W,69468,0.01861288650889618,0.15613163493658966,0.8442496747741286,0.017617396279683135,0.0522015013424775,0.09964614295824487,0.5444702242846094,0.16846135439100263,61814,6361,589,704,3618780.0,10170.150285023321
DeviceType,MISSING,70399,0.019261637239165328,0.17888871909331783,0.8466443489088094,0.017968031135157173,0.0522015013424775,0.10242366150896892,0.551622418879056,0.17276821803903453,62488,6555,608,748,3733500.0,10373.726899529822
DeviceType,desktop,10461,0.07609215180193098,0.766474371796314,0.9276430003093585,0.033084432589477276,0.0522015013424775,0.31709517365809653,0.8831658291457286,0.4666445403252572,8151,1514,93,703,663120.0,21193.0025810152
DeviceType,mobile,7721,0.12058023572076156,0.6993639635938305,0.9082089823759905,0.06192440304560348,0.0522015013424775,0.3520499108734403,0.8485499462943072,0.49763779527559054,5336,1454,141,790,853920.0,29063.59279886025
history,0,2979,0.03491104397448808,0.6771981286439966,0.940066889632107,0.01964762094721891,0.0522015013424775,0.1797979797979798,0.8557692307692307,0.29716193656093487,2469,406,15,89,136080.0,16616.314199395772
history,1-2,3520,0.028977272727272727,0.5271532873490538,0.913353755779667,0.020479622665818077,0.0522015013424775,0.14842300556586271,0.7843137254901961,0.24960998439937598,2959,459,22,80,175020.0,15312.500000000002
history,16+,70102,0.03600467889646515,0.5140175135630092,0.893457001427569,0.02416145777217531,0.0522015013424775,0.20006602839220866,0.7202852614896988,0.3131513220222203,60309,7269,706,1818,4273620.0,12962.540298422298
history,3-7,5729,0.027229883051143305,0.44052214151555075,0.8849098446263348,0.021604547995384766,0.0522015013424775,0.13829787234042554,0.75,0.23353293413173654,4844,729,39,117,295020.0,14766.97503927387
history,8-15,6251,0.03151495760678291,0.4667901222960012,0.8838147032041574,0.022554549083589587,0.0522015013424775,0.17189460476787954,0.6954314720812182,0.27565392354124746,5394,660,60,137,370800.0,12749.960006398975
segmento_monto,"(0.498, 44.0]",22521,0.047555614759557746,0.6392362373141873,0.9225961837726544,0.026216985754605453,0.0522015013424775,0.2934931506849315,0.800186741363212,0.42946629917313955,19387,2063,214,857,1270140.0,12965.67647973003
segmento_monto,"(117.0, 5366.82]",21960,0.040300546448087435,0.4990759243231233,0.8893382391378652,0.02867944646923612,0.0522015013424775,0.15745355686452198,0.7853107344632768,0.2623136440837894,17356,3719,190,695,1467420.0,20100.182149362478
segmento_monto,"(44.0, 68.5]",21804,0.0232526141992295,0.4078428095977068,0.8640152574942958,0.017313732763001695,0.0522015013424775,0.16826651609260304,0.5877712031558185,0.26163301141352063,19824,1473,209,298,1142940.0,8122.362869198311
segmento_monto,"(68.5, 117.0]",22296,0.02780767850735558,0.3888486280485462,0.8704831863991095,0.022040006248168844,0.0522015013424775,0.1470477623166604,0.6306451612903226,0.23848734370234828,19408,2268,229,391,1370040.0,11925.905992106207
