TransactionID,TransactionAmt,ProductCD,y
3491411,3076.97,W,1
3571743,2480.06,W,1
3552603,2259.95,W,1
3552634,2259.95,W,1
3494038,1949.69,W,1
3535177,1651.0,W,1
3509557,1601.0,W,1
3530331,1504.47,W,1
3530376,1504.47,W,1
3499538,1402.85,W,1
3536398,1392.36,W,1
3543598,1384.95,W,1
3534597,1104.0,W,1
3501043,1104.0,W,1
3557548,1104.0,W,1
3567272,1104.0,W,1
3567280,1104.0,W,1
3534602,1104.0,W,1
3512407,994.0,W,1
3522512,994.0,W,1
3522509,994.0,W,1
3535189,994.0,W,1
3502819,974.0,W,1
3530512,974.0,W,1
3502823,974.0,W,1
3568715,974.0,W,1
3568710,974.0,W,1
3565008,974.0,W,1
3575549,944.0,W,1
3522544,944.0,W,1
3526826,944.0,W,1
3533330,944.0,W,1
3522540,944.0,W,1
3494432,914.0,W,1
3531408,884.0,W,1
3538655,884.0,W,1
3534978,884.0,W,1
3559574,884.0,W,1
3542308,874.0,W,1
3492830,864.0,W,1
3560514,774.0,W,1
3530772,714.0,W,1
3492525,680.45,W,1
3563278,664.0,W,1
3515440,611.95,W,1
3551458,554.0,W,1
3551426,554.0,W,1
3542372,554.0,W,1
3507457,554.0,W,1
3551412,554.0,W,1
3534600,554.0,W,1
3514338,554.0,W,1
3549520,554.0,W,1
3533110,554.0,W,1
3503610,554.0,W,1
3520017,554.0,W,1
3532738,554.0,W,1
3566814,554.0,W,1
3538600,534.0,W,1
3500275,500.0,W,1
3544384,500.0,W,1
3501167,500.0,H,1
3501582,500.0,R,1
3544407,500.0,W,1
3575578,500.0,W,1
3530121,470.0,W,1
3541200,464.34,W,1
3565461,450.0,H,1
3534751,445.0,W,1
3568646,445.0,W,1
3568653,445.0,W,1
3558390,445.0,W,1
3535595,445.0,W,1
3541801,445.0,W,1
3498052,440.99,W,1
3514187,435.95,W,1
3542486,424.95,W,1
3566856,422.5,W,1
3526800,422.5,W,1
3566350,417.5,W,1
3556949,400.0,H,1
3535488,390.0,W,1
3552833,390.0,W,1
3509412,390.0,W,1
3519663,378.0,W,1
3509794,374.95,W,1
3549888,370.0,W,1
3549895,370.0,W,1
3538890,370.0,W,1
3538810,370.0,W,1
3541670,363.0,W,1
3523979,335.0,W,1
3515484,335.0,W,1
3515479,335.0,W,1
3558459,335.0,W,1
3564665,335.0,W,1
3493210,335.0,W,1
3545803,335.0,W,1
3545804,335.0,W,1
3567805,335.0,W,1
