indice,TransactionID,y,score_A_V4,score_B_GRU,score_C_fusion
413378,3400378,0,0.0015974998513121018,0.00339044546349522,0.001983734262898349
413379,3400379,1,0.9379149457002632,0.8474955271373678,0.9647766755060252
413380,3400380,0,0.0629515355110312,0.07668718545402682,0.059662729637708786
413381,3400381,0,0.004343711433628939,0.007322915013139289,0.005386657315852431
413382,3400382,0,0.0026059357158133008,0.003244962663499738,0.0029414244865158413
413383,3400383,0,0.007796446623860437,0.004919296771760469,0.0083158060738131
413384,3400384,0,0.03987980019846252,0.05235441402433168,0.03663260823058007
413385,3400385,0,0.02500405831060241,0.020690731388511838,0.01975783221452275
413386,3400386,0,0.013224028483815091,0.013292676611245892,0.016996514807830147
413387,3400387,0,0.01178538741496884,0.02826346150843672,0.018216680356283946
413388,3400388,0,0.01608411154538612,0.0032895216417181783,0.009154810731096445
413389,3400389,0,0.006663325785960919,0.014583352722424288,0.009553614691548756
413390,3400390,0,0.00046755784296802384,0.005823601879629204,0.000801161765136348
413391,3400391,0,0.0016585257595410864,0.004331314650352537,0.002024247209352544
413392,3400392,0,0.0003169586230121488,0.0020044691738060837,0.00041561473226209733
413393,3400393,0,0.0008955349994041733,0.0024422907761440836,0.001102842580491215
413394,3400394,0,0.0009147641131281273,0.020845640519977938,0.0018468984285160413
413395,3400395,0,0.006067996481937798,0.014448265156206733,0.00829247708776008
413396,3400396,0,0.0010253113197442845,0.0035207052328710873,0.0012649869000160732
413397,3400397,0,0.0025643875371654775,0.006684593116214819,0.0029759342667523597
413398,3400398,0,0.0026530562366768994,0.013600516464065963,0.0024131861812263207
413399,3400399,0,0.0036309967007195905,0.007294865783666466,0.004698319804717773
413400,3400400,0,0.0011173297469610304,0.0034539335567987024,0.0014269477817245775
413401,3400401,0,0.01374241972021064,0.04027211919935453,0.0071318910094612465
413402,3400402,0,0.005448536960416118,0.005136624722345959,0.005978267229073742
413403,3400403,0,0.0012851365602245001,0.01147288115931201,0.002070944507341269
413404,3400404,0,0.005589640294443419,0.020766504911202806,0.005339421191283884
413405,3400405,0,0.0009057374566806194,0.007569611790504704,0.0013665635702457286
413406,3400406,0,0.008061571618342773,0.08806774747742369,0.017064985428086963
413407,3400407,0,0.013903142163894048,0.006709333050672194,0.008726591147497239
413408,3400408,0,0.004796894058015947,0.008223895963930666,0.0061286228481498535
413409,3400409,0,0.010715419995690915,0.029041852294964435,0.0161668242226278
413410,3400410,0,0.008556494735298993,0.03264713366692847,0.00838542712749211
413411,3400411,0,0.00044808325746024334,0.004363007736481781,0.0006573492870883564
413412,3400412,0,0.006732430381561514,0.007291707206455224,0.00203069766828906
413413,3400413,0,0.00558720048087856,0.0050139169051776995,0.006441000001648002
413414,3400414,0,0.0008312365399780013,0.0060764193164080035,0.001293549986013364
413415,3400415,0,0.017354174077149502,0.011120181917028321,0.005074067324005686
413416,3400416,0,0.008288255414149506,0.01360102807424219,0.011522084803163685
413417,3400417,0,0.019234026347489785,0.002563238646741665,0.016292303842052568
413418,3400418,0,0.036666421497525574,0.049194293537655746,0.03354991626173318
413419,3400419,0,0.0056282275087148935,0.02001082228098223,0.006629288904558244
413420,3400420,0,0.020719170131664494,0.07391580382184235,0.02250029073605497
413421,3400421,0,0.0023101387877233577,0.0033363902010998727,0.0013055166438379776
413422,3400422,0,0.014071850079876706,0.004316738918519767,0.010651849704591928
413423,3400423,0,0.02027950763565368,0.007968709685485319,0.02199283128507066
413424,3400424,0,0.008059662722596225,0.019952541486335965,0.007457986031404879
413425,3400425,0,0.013188794458237427,0.035492657481955375,0.019678730024377967
413426,3400426,0,0.004067022560416031,0.01571073648457925,0.006300455679379319
413427,3400427,0,0.00045664845465914804,0.0031329087229529963,0.0006921314481848665
413428,3400428,0,0.0012482584883610577,0.003858464143744121,0.000731273424040557
413429,3400429,0,0.0024222742980102565,0.0067778396241380675,0.0033112553087863246
413430,3400430,0,0.005366158560605788,0.007280470945167512,0.006604280392260313
413431,3400431,0,0.003555030461725833,0.027430404930530995,0.006359464477123926
413432,3400432,0,0.005856097009407922,0.0041311277285143635,0.006028310401264701
413433,3400433,0,0.002164555321961102,0.004792303365131919,0.0018436423917341576
413434,3400434,0,0.0347718901346702,0.06165453492319919,0.05195838335068732
413435,3400435,0,0.010499682492300093,0.007401587276955317,0.005299469019417899
413436,3400436,0,0.0420225401426869,0.07817368604562701,0.03271796081594489
413437,3400437,0,0.15644417096780508,0.023584685068413942,0.1523582600922345
413438,3400438,0,0.0013824346233548394,0.011394892601133643,0.0022369713963751583
413439,3400439,0,0.02871916252095891,0.06852655287127213,0.045335495373889374
413440,3400440,0,0.053345383011439304,0.0680164746621692,0.049666373341844504
413441,3400441,0,0.005250156004052276,0.0032629316861427153,0.0031991705917016806
413442,3400442,0,0.005801884661378501,0.0031873834300035022,0.003027456723295843
413443,3400443,0,0.0041545233217391,0.008149167280650899,0.005394767415185406
413444,3400444,0,0.001587093883916223,0.00491110227188095,0.002114977952875951
413445,3400445,0,0.0003192176797713991,0.0025132178289130397,0.0004510145933589657
413446,3400446,0,0.0018622541879262644,0.003405485620740472,0.002261481271149078
413447,3400447,0,0.14446320554807576,0.06490714431501046,0.16105487041700844
413448,3400448,0,0.0003877540669397236,0.004815437166588962,0.0006151105911664423
413449,3400449,0,0.0009254084483700359,0.0027291064894102383,0.0011636841527654196
413450,3400450,0,0.10493872286782623,0.07332104988037871,0.1424445530092758
413451,3400451,0,0.006813396235174199,0.006056201370232314,0.003989999377652633
413452,3400452,0,0.3127656135022228,0.07498177586392153,0.3517286320123094
413453,3400453,0,0.0004791017480524023,0.0026678908534402144,0.0006513407331250157
413454,3400454,0,0.012897030040845263,0.02142853679945644,0.017566724899050163
413455,3400455,0,0.13400078597897616,0.08217097821080831,0.15849863585739005
413456,3400456,0,0.0038876281762704034,0.020441008078138884,0.00600109159541898
413457,3400457,0,0.026171414544729096,0.019764192396300378,0.0323192534959011
413458,3400458,0,0.0021112635872684027,0.0037481260818919486,0.002506245790800754
413459,3400459,1,0.9370097943545024,0.7928398368976579,0.9439508316325003
413460,3400460,0,0.08047805969640878,0.03387765281635528,0.09675625493639997
413461,3400461,0,0.007850441199857353,0.0024551928084139024,0.00736014220933729
413462,3400462,0,0.0014673139211657364,0.003008698527281072,0.0017040110757470836
413463,3400463,0,0.015341224609614252,0.017876577584694613,0.021181157932899063
413464,3400464,0,0.1362767380130023,0.016571924194702454,0.1258101995500353
413465,3400465,0,0.042391648912656704,0.08082529831624537,0.035139073104738905
413466,3400466,0,0.003490236972979599,0.010976933097912664,0.004821296460204031
413467,3400467,0,0.0037656090352578904,0.0029684198697116208,0.001964170360847083
413468,3400468,0,0.024522275160614674,0.017039618843282627,0.028474574360073845
413469,3400469,0,0.004282805329620822,0.007080034387130828,0.002319820496858755
413470,3400470,0,0.0003118993607916457,0.0027176919982158125,0.0004645692687676105
413471,3400471,0,0.0006773186631152092,0.0037382615635514066,0.0009280612699226766
413472,3400472,0,0.07563179376011009,0.14053439389095884,0.08490740488204684
413473,3400473,0,0.014889741991366447,0.07888468554579708,0.016288162446604908
413474,3400474,0,0.08576168652069344,0.011526491149142103,0.04252830992733618
413475,3400475,0,0.0008610784588188147,0.002349574443484773,0.0010564205981639016
413476,3400476,0,0.011607295729263134,0.020491505456102482,0.01679062922290998
413477,3400477,0,0.0022835281863538425,0.01973749012863192,0.00275679718460819
413478,3400478,0,0.0063094020435216485,0.013112002809419519,0.008868198196058063
413479,3400479,1,0.020668925640032258,0.013538019257973325,0.011567677983441773
413480,3400480,0,0.012167021810890697,0.024098862376457107,0.01173269570490344
413481,3400481,0,0.006264123202382463,0.018255078086039933,0.00911482607955567
413482,3400482,0,0.0013340923770775808,0.010988177032734142,0.0021181438429610532
413483,3400483,0,0.04388176623554635,0.035333941483649815,0.03580870558117249
413484,3400484,0,0.02663067761952436,0.05172051449590229,0.025026643891758557
413485,3400485,1,0.9553020669025738,0.8576039931431328,0.9742063478764399
413486,3400486,0,0.009481204670831607,0.02942343064227918,0.0151766074988568
413487,3400487,0,0.04690132313134334,0.03046799834911088,0.03673276654546043
413488,3400488,0,0.0030139149339651772,0.007136621041460916,0.002532729826383279
413489,3400489,0,0.007473922006969537,0.009407672057281415,0.008641652274362385
413490,3400490,0,0.006431338720783097,0.00848887613629077,0.005165289831316516
413491,3400491,0,0.0020650039458269746,0.003965524433759692,0.0021060973617529773
413492,3400492,0,0.0021275766638893813,0.006920271844900695,0.002889185774881677
413493,3400493,0,0.010205624670073995,0.006582018693564391,0.011543511471151027
413494,3400494,0,0.0006982597918190104,0.003999889569208369,0.0009992739892911299
413495,3400495,0,0.03206198729002771,0.036670319912236016,0.02549700120712156
413496,3400496,0,0.0008579354390509489,0.002057704313409257,0.0009813632111897984
413497,3400497,0,0.00042692445963072174,0.002914165305547931,0.0005868495225974796
413498,3400498,1,0.989592968817426,0.9133140133057831,0.9938126350941247
413499,3400499,0,0.0016841213136905672,0.002266807963038126,0.0017543046262650521
413500,3400500,0,0.0014981052795418248,0.014979495827811015,0.002534209394880466
413501,3400501,0,0.0035313128789001397,0.012441694017837136,0.004532175924529665
413502,3400502,0,0.0671265957460671,0.02167409768648859,0.046392408999255334
413503,3400503,0,0.005934982656388601,0.01134662555522238,0.0077010524586582215
413504,3400504,0,0.005951746657445387,0.013253352970218686,0.005260463848325255
413505,3400505,0,0.0022476417350738086,0.012311237779505916,0.0016526770865976847
413506,3400506,0,0.005798542438363801,0.01920231891522431,0.00898345076484909
413507,3400507,0,0.1652244945484659,0.22820152056246265,0.25416503802207296
413508,3400508,0,0.04952843235069566,0.021113067337850448,0.03620569016940872
413509,3400509,0,0.008367505798817032,0.020574700697126178,0.01264282491500939
413510,3400510,0,0.00024417805424498557,0.007551053249754587,0.0004705132409329021
413511,3400511,0,0.0014844583645109198,0.009768873274474715,0.0023631854204045513
413512,3400512,0,0.00048102114673580064,0.006319706119435211,0.0008029270878267454
413513,3400513,0,0.0007356333933664241,0.0035416952512288087,0.0005523562219900276
413514,3400514,0,0.007469620106660454,0.009257276942413954,0.008606013181036697
413515,3400515,0,0.0013223612273411463,0.006231127022018935,0.001947242284574624
413516,3400516,0,0.007974289181592148,0.0341894054463337,0.0034763218108142886
413517,3400517,0,0.0023747751388598416,0.003925238754417284,0.0028875661532067765
413518,3400518,0,0.24606711063118414,0.18425990951266266,0.23713369382509325
413519,3400519,0,0.013375671145790635,0.021047620529849896,0.017819521833537487
413520,3400520,0,0.015464444010828488,0.02989106033990921,0.013291417485163777
413521,3400521,0,0.01215811148725829,0.012480925975044653,0.009168226255280866
413522,3400522,0,0.022745090367282315,0.026999980070016923,0.030486295798446986
413523,3400523,0,0.0018417256819576954,0.002800623879287471,0.0020450176359632566
413524,3400524,0,0.0003791558231195504,0.0034112638826393447,0.0005475756903516426
413525,3400525,0,0.0771117700309207,0.12319692112238222,0.09463387360757773
413526,3400526,0,0.007210791475160206,0.0145384505706936,0.00994572913517802
413527,3400527,0,0.019185537174973708,0.01075963007756985,0.01172283054324468
